year,district_code,district_name,score_UMC,score_Connect,score_AFU,score_Afford,score_Device,score_Skill,score_Safety
2024,11220,Seocho-gu,0.695,0.49,0.376,0.993,0.988,0.533,0.791
2024,11190,Yeongdeungpo-gu,0.686,0.631,0.514,0.662,0.677,0.79,0.839
2024,11140,Mapo-gu,0.665,0.588,0.718,0.637,0.645,0.633,0.77
2024,11130,Seodaemun-gu,0.615,0.668,0.336,0.574,0.561,0.688,0.862
2024,11030,Yongsan-gu,0.603,0.884,0.707,0.477,0.878,0.33,0.341
2024,11010,Jongno-gu,0.572,0.546,0.318,0.469,0.565,0.553,0.984
2024,11240,Songpa-gu,0.572,0.256,0.544,0.723,0.239,0.739,0.93
2024,11020,Jung-gu,0.533,0.597,0.524,0.389,0.399,0.76,0.53
2024,11200,Dongjak-gu,0.528,0.414,0.552,0.666,0.697,0.553,0.288
2024,11120,Eunpyeong-gu,0.528,0.781,0.498,0.328,0.637,0.428,0.493
2024,11210,Gwanak-gu,0.522,0.58,0.691,0.152,0.564,0.795,0.351
2024,11040,Seongdong-gu,0.493,0.387,0.72,0.631,0.229,0.333,0.658
2024,11050,Gwangjin-gu,0.479,0.434,0.832,0.365,0.579,0.427,0.238
2024,11150,Yangcheon-gu,0.463,0.278,0.274,0.656,0.497,0.523,0.551
2024,11160,Gangseo-gu,0.46,0.518,0.644,0.338,0.431,0.34,0.492
2024,11180,Geumcheon-gu,0.446,0.607,0.276,0.113,0.601,0.558,0.523
2024,11250,Gangdong-gu,0.435,0.3,0.468,0.512,0.046,0.592,0.695
2024,11230,Gangnam-gu,0.415,0.49,0.304,0.783,0.273,0.276,0.367
2024,11080,Seongbuk-gu,0.414,0.543,0.371,0.493,0.409,0.414,0.252
2024,11060,Dongdaemun-gu,0.398,0.524,0.467,0.381,0.564,0.284,0.166
2024,11110,Nowon-gu,0.389,0.174,0.674,0.59,0.424,0.334,0.141
2024,11170,Guro-gu,0.389,0.526,0.455,0.449,0.033,0.369,0.501
2024,11090,Gangbuk-gu,0.38,0.562,0.296,0.0,0.285,0.471,0.667
2024,11100,Dobong-gu,0.303,0.396,0.213,0.247,0.416,0.527,0.019
2024,11070,Jungnang-gu,0.279,0.63,0.469,0.103,0.052,0.242,0.178
