district_code,district,station_density_5g,n_station_density_5g,living_pop_daytime
11030,용산구,2.551,1.0,292491.314
11210,관악구,2.245,0.703,424428.626
11130,서대문구,2.21,0.669,356045.537
11120,은평구,2.196,0.654,391675.236
11060,동대문구,2.185,0.644,334993.488
11010,종로구,2.183,0.642,328042.267
11070,중랑구,2.182,0.641,315781.969
11180,금천구,2.106,0.567,217493.184
11050,광진구,2.078,0.539,351833.007
11080,성북구,2.034,0.496,390435.426
11200,동작구,2.027,0.49,349353.578
11140,마포구,2.025,0.488,455777.57
11040,성동구,1.984,0.448,340748.055
11090,강북구,1.984,0.448,257521.91
11220,서초구,1.966,0.431,603628.762
11020,중구,1.921,0.387,325312.033
11190,영등포구,1.909,0.375,504005.109
11170,구로구,1.865,0.332,376407.029
11230,강남구,1.859,0.326,887130.23
11100,도봉구,1.853,0.32,245555.176
11160,강서구,1.824,0.292,525338.96
11150,양천구,1.822,0.29,347441.775
11250,강동구,1.564,0.038,478396.29
11110,노원구,1.557,0.032,450947.079
11240,송파구,1.524,0.0,745960.975
