district_code,district,device_home_core,device_use_core,skill_q4,skill_q5b,skill_q6b,skill_q7,safety_behavior,safety_awareness,wifi_density,avg_income,living_pop_daytime,station_density_4g,station_density_5g,download_speed,mobile_data_usage,online_service_days,delinq_rate,n_station_density_4g,n_station_density_5g,n_download_speed,n_mobile_data_usage,n_online_service_days,n_wifi_density,n_avg_income,n_delinq_rate,n_device_home_core,n_device_use_core,n_skill_q4,n_skill_q5b,n_skill_q6b,n_skill_q7,n_safety_behavior,n_safety_awareness,score_Infrastructure,score_Available_for_Use,score_Affordability,score_Devices,score_Digital_Skills,score_Safety,score_UMC,rank_UMC,year
11220,서초구,1.861,2.507,0.729,0.72,0.669,0.665,0.659,0.587,2.193,4912401,603628.762,6.522,1.966,1073.063,6.327,341.786,6.022,0.65,0.431,0.389,0.0,0.588,0.542,0.987,1.0,0.976,1.0,0.414,0.523,0.514,0.683,0.81,0.772,0.49,0.376,0.993,0.988,0.533,0.791,0.695,1,2024
11190,영등포구,1.612,2.24,0.826,0.755,0.711,0.657,0.683,0.569,0.746,3604887,504005.109,6.466,1.909,1328.19,6.91,353.629,6.4,0.633,0.375,0.887,0.359,1.0,0.184,0.441,0.883,0.668,0.686,1.0,0.717,0.812,0.63,0.995,0.683,0.631,0.514,0.662,0.677,0.79,0.839,0.686,2,2024
11140,마포구,1.605,2.193,0.736,0.768,0.699,0.646,0.645,0.601,2.824,3832436,455777.57,6.352,2.025,1220.95,7.117,352.756,6.867,0.597,0.488,0.678,0.487,0.97,0.698,0.536,0.739,0.659,0.631,0.459,0.787,0.723,0.561,0.7,0.841,0.588,0.718,0.637,0.645,0.633,0.77,0.665,3,2024
11130,서대문구,1.519,2.143,0.722,0.734,0.738,0.679,0.669,0.6,0.863,3417706,356045.537,6.041,2.21,1301.14,6.885,337.848,6.72,0.5,0.669,0.834,0.344,0.45,0.213,0.363,0.784,0.551,0.571,0.376,0.599,1.0,0.776,0.884,0.839,0.668,0.336,0.574,0.561,0.688,0.862,0.615,4,2024
11030,용산구,1.881,2.3,0.714,0.703,0.632,0.607,0.586,0.523,4.047,3971498,292491.314,7.47,2.551,1236.383,7.079,343.777,8.091,0.946,1.0,0.708,0.463,0.657,1.0,0.594,0.36,1.0,0.756,0.325,0.433,0.259,0.303,0.228,0.454,0.884,0.707,0.477,0.878,0.33,0.341,0.603,5,2024
11010,종로구,1.484,2.185,0.713,0.684,0.676,0.713,0.679,0.633,1.81,3725859,328042.267,7.63,2.183,873.95,7.151,324.914,7.812,0.995,0.642,0.0,0.507,0.0,0.447,0.492,0.446,0.509,0.621,0.318,0.327,0.568,1.0,0.968,1.0,0.546,0.318,0.469,0.565,0.553,0.984,0.572,6,2024
11240,송파구,1.378,1.742,0.804,0.806,0.702,0.613,0.683,0.604,1.994,3995905,745960.975,5.106,1.524,1160.153,6.704,350.938,6.534,0.209,0.0,0.559,0.232,0.906,0.492,0.604,0.842,0.378,0.1,0.864,1.0,0.747,0.343,1.0,0.86,0.256,0.544,0.723,0.239,0.739,0.93,0.572,7,2024
11020,중구,1.43,1.961,0.806,0.772,0.652,0.707,0.617,0.549,1.901,3513603,325312.033,7.645,1.921,1080.152,7.438,336.89,8.045,1.0,0.387,0.403,0.684,0.417,0.469,0.403,0.374,0.441,0.357,0.878,0.808,0.397,0.958,0.477,0.584,0.597,0.524,0.389,0.399,0.76,0.53,0.533,8,2024
11200,동작구,1.662,2.222,0.791,0.735,0.712,0.561,0.572,0.523,2.183,3454170,349353.578,4.674,2.027,1221.12,6.949,345.951,6.17,0.075,0.49,0.678,0.383,0.733,0.539,0.378,0.954,0.729,0.665,0.787,0.609,0.815,0.0,0.122,0.455,0.414,0.552,0.666,0.697,0.553,0.288,0.528,9,2024
11120,은평구,1.716,2.064,0.758,0.73,0.659,0.576,0.606,0.553,2.008,2912739,391675.236,6.643,2.196,1386.04,6.853,344.247,7.624,0.688,0.654,1.0,0.324,0.673,0.496,0.152,0.504,0.796,0.478,0.592,0.579,0.447,0.095,0.384,0.603,0.781,0.498,0.328,0.637,0.428,0.493,0.528,10,2024
